,model,run,scenario,startyr,endyr,Tavg,dSdt
225,FGOALS-f3-L,r1i1p1f1_gn,historical,1900,1950,-0.9310056269383722,4.3308772146701815e-05
226,FGOALS-f3-L,r1i1p1f1_gn,historical,1950,2000,-0.585213338393828,0.00031593237072229384
227,FGOALS-f3-L,r1i1p1f1_gn,historical,1992,2014,-0.04601555278094338,0.0010167639702558517
228,FGOALS-g3,r1i1p1f1_gn,historical,1850,1900,-0.9802967429715181,-0.0005408502370119095
229,FGOALS-g3,r1i1p1f1_gn,historical,1900,1950,-0.8553694528313258,-7.997799664735794e-05
230,FGOALS-g3,r1i1p1f1_gn,historical,1950,2000,-0.5582987695383963,0.00026629481464624405
231,FGOALS-g3,r1i1p1f1_gn,historical,1992,2014,-0.07632820193578027,0.0010779884389855645
232,FIO-ESM-2-0,r1i1p1f1_gn,historical,1950,2000,-0.5857725678836232,0.00026449503377079964
233,FIO-ESM-2-0,r1i1p1f1_gn,historical,1992,2014,-0.057287632743339145,0.0011331918226046996
234,GFDL-CM4,r1i1p1f1_gn,historical,1850,1900,-0.7184561893076875,8.358117192983628e-05
235,GFDL-CM4,r1i1p1f1_gn,historical,1900,1950,-0.7009949573859444,0.0002610003389418125
236,GFDL-CM4,r1i1p1f1_gn,historical,1950,2000,-0.5698199534917876,0.00025855889543890953
237,GFDL-CM4,r1i1p1f1_gn,historical,1992,2014,-0.07555497005012057,0.0013494975864887238
238,GFDL-ESM4,r1i1p1f1_gn,historical,1850,1900,-0.6213635437302969,0.00016350541263818741
239,GFDL-ESM4,r1i1p1f1_gn,historical,1900,1950,-0.40670381398115296,7.197849452495576e-05
240,GFDL-ESM4,r1i1p1f1_gn,historical,1950,2000,-0.4321437829392494,0.00031733985990285875
241,GFDL-ESM4,r1i1p1f1_gn,historical,1992,2014,-0.0732670057714131,0.001161992380564863
242,GISS-E2-1-G,r10i1p1f1_gn,historical,1850,1900,-0.684737784403012,-0.00011013481765985489
243,GISS-E2-1-G,r10i1p1f1_gn,historical,1900,1950,-0.583097891016962,0.00020084643736481667
244,GISS-E2-1-G,r10i1p1f1_gn,historical,1950,2000,-0.42558833397436047,0.00017195643857121468
245,GISS-E2-1-G,r10i1p1f1_gn,historical,1992,2014,-0.048133139302763084,0.0011469653214920652
246,GISS-E2-1-G,r1i1p1f1_gn,historical,1850,1900,-0.6701585783718542,-6.951872259378434e-05
247,GISS-E2-1-G,r1i1p1f1_gn,historical,1900,1950,-0.5616533870672242,0.00017643241211771964
248,GISS-E2-1-G,r1i1p1f1_gn,historical,1950,2000,-0.46897086726909265,0.00024397792294621467
249,GISS-E2-1-G,r1i1p1f1_gn,historical,1992,2014,-0.03766554900732899,0.0010813062333247879
250,GISS-E2-1-G,r2i1p1f1_gn,historical,1850,1900,-0.7156207890939754,-7.787864655256271e-05
251,GISS-E2-1-G,r2i1p1f1_gn,historical,1900,1950,-0.6361114348658816,0.00020410161465406418
252,GISS-E2-1-G,r2i1p1f1_gn,historical,1950,2000,-0.416123821321321,0.00028833016753196714
253,GISS-E2-1-G,r2i1p1f1_gn,historical,1992,2014,-0.04963266188377702,0.0011673102324659174
254,GISS-E2-1-G,r3i1p1f1_gn,historical,1850,1900,-0.7769761483846196,-6.892979145050049e-06
255,GISS-E2-1-G,r3i1p1f1_gn,historical,1900,1950,-0.6683411130256331,0.00015974948182702066
256,GISS-E2-1-G,r3i1p1f1_gn,historical,1950,2000,-0.5015825200904374,0.0002561849728226662
257,GISS-E2-1-G,r3i1p1f1_gn,historical,1992,2014,-0.044909118706186746,0.0011848811568184333
258,GISS-E2-1-G,r4i1p1f1_gn,historical,1850,1900,-0.6966733905592832,2.1405182778835296e-05
259,GISS-E2-1-G,r4i1p1f1_gn,historical,1900,1950,-0.5654045169558799,6.697600707411766e-05
260,GISS-E2-1-G,r4i1p1f1_gn,historical,1950,2000,-0.49266412729053854,0.0002875163406133652
261,GISS-E2-1-G,r4i1p1f1_gn,historical,1992,2014,-0.05840922588333797,0.0012006022205406969
262,GISS-E2-1-G,r5i1p1f1_gn,historical,1850,1900,-0.7103881082921362,-7.902543991804123e-05
263,GISS-E2-1-G,r5i1p1f1_gn,historical,1900,1950,-0.5881949904473913,0.00012556977570056914
264,GISS-E2-1-G,r5i1p1f1_gn,historical,1950,2000,-0.46509910586831893,0.00033268239349126816
265,GISS-E2-1-G,r5i1p1f1_gn,historical,1992,2014,-0.0769920383551721,0.0012052260677922857
266,GISS-E2-1-G,r6i1p1f1_gn,historical,1850,1900,-0.7308234483233491,-9.130645543336868e-05
267,GISS-E2-1-G,r6i1p1f1_gn,historical,1900,1950,-0.6108734915420655,0.00017928069457411765
268,GISS-E2-1-G,r6i1p1f1_gn,historical,1950,2000,-0.5039842552137657,0.00025537118315696714
269,GISS-E2-1-G,r6i1p1f1_gn,historical,1992,2014,-0.06392279175082649,0.0011543634940277445
270,GISS-E2-1-G,r7i1p1f1_gn,historical,1850,1900,-0.750170234455652,-7.850751280784607e-05
