Component,Source,CMIPModel,Run,Scenario,startyr,endyr,Tavg,dSdt
steric,CMIP6_RB,CNRM-CM6-1,r3i1p1f2_gn,historical,1900,1950,-0.60903545703178,
steric,CMIP6_RB,CNRM-CM6-1,r4i1p1f2_gn,historical,1900,1950,-0.677509984297501,
steric,CMIP6_RB,CNRM-CM6-1,r5i1p1f2_gn,historical,1900,1950,-0.9493529552007658,
steric,CMIP6_RB,CNRM-CM6-1,r6i1p1f2_gn,historical,1900,1950,-0.6459915723264658,
steric,CMIP6_RB,CNRM-CM6-1,r7i1p1f2_gn,historical,1900,1950,-0.3438153135390394,
steric,CMIP6_RB,CNRM-CM6-1,r8i1p1f2_gn,historical,1900,1950,-0.4309536844036188,
steric,CMIP6_RB,CNRM-CM6-1,r9i1p1f2_gn,historical,1900,1950,-0.5953295998423869,
steric,CMIP6_RB,CNRM-ESM2-1,r2i1p1f2_gn,historical,1900,1950,-0.8356694990879419,
steric,CMIP6_RB,CNRM-ESM2-1,r3i1p1f2_gn,historical,1900,1950,-0.22577874702324152,
steric,CMIP6_RB,CNRM-ESM2-1,r4i1p1f2_gn,historical,1900,1950,-0.32543097755245753,
steric,CMIP6_RB,CNRM-ESM2-1,r5i1p1f2_gn,historical,1900,1950,-0.5508376852876609,-0.03869549433390299
steric,CMIP6_RB,E3SM-1-1,r1i1p1f1_gr,historical,1900,1950,-0.521442852704638,0.050663172029981426
steric,CMIP6_RB,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1900,1950,-0.6494602519229034,0.43203312742943856
steric,CMIP6_RB,EC-Earth3-CC,r1i1p1f1_gn,historical,1900,1950,-1.2897697741812522,0.46474479226505055
steric,CMIP6_RB,EC-Earth3-Veg,r1i1p1f1_gn,historical,1900,1950,-0.9575471467827583,0.3965290293974035
steric,CMIP6_RB,FGOALS-f3-L,r1i1p1f1_gn,historical,1900,1950,-0.931005626938429,-1.341975492589614
steric,CMIP6_RB,FGOALS-g3,r1i1p1f1_gn,historical,1900,1950,-0.8553694528313258,0.3937365962009804
steric,CMIP6_RB,FIO-ESM-2-0,r1i1p1f1_gn,historical,1900,1950,-0.9877998972110049,0.5920011108996821
steric,CMIP6_RB,GFDL-CM4,r1i1p1f1_gn,historical,1900,1950,-0.7009949573859444,0.17073889339671416
steric,CMIP6_RB,GFDL-ESM4,r1i1p1f1_gn,historical,1900,1950,-0.4067038139810393,0.2864264132929783
steric,CMIP6_RB,GISS-E2-1-G,r10i1p1f1_gn,historical,1900,1950,-0.5830978910170188,0.26249103920132505
steric,CMIP6_RB,GISS-E2-1-G,r1i1p1f1_gn,historical,1900,1950,-0.5616533870671674,0.28961776284610524
steric,CMIP6_RB,GISS-E2-1-G,r2i1p1f1_gn,historical,1900,1950,-0.6361114348659953,0.24613522548301547
steric,CMIP6_RB,GISS-E2-1-G,r3i1p1f1_gn,historical,1900,1950,-0.6683411130256331,0.1551808749928194
steric,CMIP6_RB,GISS-E2-1-G,r4i1p1f1_gn,historical,1900,1950,-0.5654045169559936,0.21262572793399587
