,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
96,CanESM5,r5i1p1f1_gn,historical,1900,1950,-1.1393737989926649,0.000195719413459301,5,1,1,1,CanESM5:p1:1900:1950:historical,0.4635417521098657,35
97,CanESM5,r5i1p2f1_gn,historical,1900,1950,-1.148250659993607,0.000183105506002903,5,1,2,1,CanESM5:p1:1900:1950:historical,0.47560552187911986,35
98,CanESM5,r6i1p1f1_gn,historical,1900,1950,-1.0843435682293148,0.00017781578004360198,6,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
99,CanESM5,r6i1p2f1_gn,historical,1900,1950,-1.1275613563799425,0.000255126915872097,6,1,2,1,CanESM5:p1:1900:1950:historical,0.4226467726559676,35
100,CanESM5,r7i1p1f1_gn,historical,1900,1950,-1.141992434968131,0.00018025714904069905,7,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
101,CanESM5,r7i1p2f1_gn,historical,1900,1950,-1.0970815584808522,0.00019287109375,7,1,2,1,CanESM5:p1:1900:1950:historical,0.47838922131821365,35
102,CanESM5,r8i1p1f1_gn,historical,1900,1950,-1.2660578690696411,0.00023030597716569904,8,1,1,1,CanESM5:p1:1900:1950:historical,0.6402702432630811,35
103,CanESM5,r8i1p2f1_gn,historical,1900,1950,-1.0903765240060466,0.00013916019350290298,8,1,2,1,CanESM5:p1:1900:1950:historical,0.3870952412069563,35
104,CanESM5,r9i1p1f1_gn,historical,1900,1950,-1.0735913659586345,0.00016357421875,9,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
105,CanESM5,r9i1p2f1_gn,historical,1900,1950,-1.2409529510266566,9.6028633415699e-05,9,1,2,1,CanESM5:p1:1900:1950:historical,0.5556320477880918,35
106,CanESM5,r10i1p1f1_gn,historical,1950,2000,-0.8763489099324602,0.000500895194709301,10,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
107,CanESM5,r10i1p2f1_gn,historical,1950,2000,-0.8955555478950714,0.000469970703125,10,1,2,1,CanESM5:p1:1950:2000:historical,0.47671554418524115,35
108,CanESM5,r11i1p1f1_gn,historical,1950,2000,-0.7839823180804615,0.000486246757209301,11,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
109,CanESM5,r12i1p1f1_gn,historical,1950,2000,-0.8103387811740391,0.000486246757209301,12,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
110,CanESM5,r13i1p1f1_gn,historical,1950,2000,-0.8543504268738502,0.000497233085334301,13,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
111,CanESM5,r14i1p1f1_gn,historical,1950,2000,-0.9123672560029944,0.000474853515625,14,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
112,CanESM5,r15i1p1f1_gn,historical,1950,2000,-0.8567422278985077,0.000537109375,15,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
113,CanESM5,r16i1p1f1_gn,historical,1950,2000,-0.7683115450523701,0.000494384765625,16,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
114,CanESM5,r17i1p1f1_gn,historical,1950,2000,-0.8652637393671512,0.000519612655043602,17,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
115,CanESM5,r18i1p1f1_gn,historical,1950,2000,-0.877394607354006,0.00049560546875,18,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
116,CanESM5,r19i1p1f1_gn,historical,1950,2000,-0.8701221143310818,0.000445556640625,19,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
117,CanESM5,r1i1p1f1_gn,historical,1950,2000,-0.7512275893404876,0.0005118814855813982,1,1,1,1,CanESM5:p1:1950:2000:historical,0.5111784829582484,35
118,CanESM5,r1i1p2f1_gn,historical,1950,2000,-0.8237362061670979,0.000507405586540699,1,1,2,1,CanESM5:p1:1950:2000:historical,0.4653912433877927,35
119,CanESM5,r20i1p1f1_gn,historical,1950,2000,-0.8192337250844162,0.000502522774040699,20,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
120,CanESM5,r21i1p1f1_gn,historical,1950,2000,-0.7958895024945605,0.000543619804084301,21,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
121,CanESM5,r22i1p1f1_gn,historical,1950,2000,-0.7992484066249403,0.000567626953125,22,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
122,CanESM5,r23i1p1f1_gn,historical,1950,2000,-0.8826627668075275,0.00047119140625,23,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
123,CanESM5,r24i1p1f1_gn,historical,1950,2000,-0.8432769440527181,0.0005489094927906991,24,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
124,CanESM5,r25i1p1f1_gn,historical,1950,2000,-0.8405987832784376,0.000464680977165699,25,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
125,CanESM5,r2i1p1f1_gn,historical,1950,2000,-0.7095648714407616,0.000419514961540699,2,1,1,1,CanESM5:p1:1950:2000:historical,0.41083483218395134,35
126,CanESM5,r2i1p2f1_gn,historical,1950,2000,-0.744426527870985,0.000509033203125,2,1,2,1,CanESM5:p1:1950:2000:historical,0.4493872221331056,35
127,CanESM5,r3i1p1f1_gn,historical,1950,2000,-0.7565702422705841,0.00047688804566860195,3,1,1,1,CanESM5:p1:1950:2000:historical,0.41743333554415457,35
128,CanESM5,r3i1p2f1_gn,historical,1950,2000,-0.8208023473918047,0.000498046875,3,1,2,1,CanESM5:p1:1950:2000:historical,0.416764134967413,35
