,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
107,EC-Earth3,1,SSP245,2016,2050,0.8926231121729984,0.0021021225873161767,EC-Earth3:p1:2016:2050:SSP245,471.824453720935
108,EC-Earth3,1,SSP245,2051,2100,1.9738229037942008,0.002605412079363453,EC-Earth3:p1:2051:2100:SSP245,149.9553440824661
109,EC-Earth3,1,SSP585,2016,2050,1.0615696464947175,0.002175723805147059,EC-Earth3:p1:2016:2050:SSP585,419.8319905765858
110,EC-Earth3,1,SSP585,2051,2100,3.3593148941688464,0.0045722388491338615,EC-Earth3:p1:2051:2100:SSP585,98.69455680507625
111,EC-Earth3-CC,1,SSP245,2016,2050,0.5685827877334759,0.002078187378013835,EC-Earth3-CC:p1:2016:2050:SSP245,839.527697368941
112,EC-Earth3-CC,1,SSP245,2051,2100,1.6428629007605196,0.0025792541552563104,EC-Earth3-CC:p1:2051:2100:SSP245,379.49551260354366
113,EC-Earth3-CC,1,SSP585,2016,2050,0.5915107137864197,0.0023342956076650057,EC-Earth3-CC:p1:2016:2050:SSP585,606.503292222874
114,EC-Earth3-CC,1,SSP585,2051,2100,2.9574455667666935,0.004592168696072637,EC-Earth3-CC:p1:2051:2100:SSP585,222.07785382158517
115,EC-Earth3-CC,1,historical,1850,1900,-1.4027734797650169,0.00035859085619449615,EC-Earth3-CC:p1:1850:1900:historical,222.07785382158517
116,EC-Earth3-CC,1,historical,1900,1950,-1.289769774181195,0.00047403968870639806,EC-Earth3-CC:p1:1900:1950:historical,222.07785382158517
117,EC-Earth3-CC,1,historical,1950,2000,-0.6551007325431897,0.00057861328125,EC-Earth3-CC:p1:1950:2000:historical,222.07785382158517
118,EC-Earth3-CC,1,historical,1992,2014,-0.08047753976194373,0.0016294536604122682,EC-Earth3-CC:p1:1992:2014:historical,222.07785382158517
119,EC-Earth3-Veg,1,SSP126,2016,2050,0.6677028643705967,0.0018376368371879356,EC-Earth3-Veg:p1:2016:2050:SSP126,813.1760479239778
120,EC-Earth3-Veg,1,SSP126,2051,2100,1.110083051131312,0.0013930131586230529,EC-Earth3-Veg:p1:2051:2100:SSP126,359.9336771856075
121,EC-Earth3-Veg,1,SSP245,2016,2050,0.7128552498841145,0.0020219392197973586,EC-Earth3-Veg:p1:2016:2050:SSP245,831.1876934849766
122,EC-Earth3-Veg,1,SSP245,2051,2100,1.89028719086474,0.002494552609871845,EC-Earth3-Veg:p1:2051:2100:SSP245,190.82321103576734
123,EC-Earth3-Veg,1,SSP585,2016,2050,0.921360538505894,0.002289416816304712,EC-Earth3-Veg:p1:2016:2050:SSP585,687.4328344819401
124,EC-Earth3-Veg,1,SSP585,2051,2100,3.284938654739108,0.004583449388036923,EC-Earth3-Veg:p1:2051:2100:SSP585,113.97248102016506
