,model,p,scenario,startyr,endyr,Tavg,dSdt
250,MPI-ESM1-2-HR,1,SSP245,2051,2100,1.3770024027060686,0.0019176894304703694
251,MPI-ESM1-2-HR,1,SSP585,2016,2050,0.7005728964523428,0.001770401483072954
252,MPI-ESM1-2-HR,1,SSP585,2051,2100,2.3403294780634383,0.003571867030494067
253,MPI-ESM1-2-HR,1,historical,1850,1900,-0.8275648415875594,-0.00024362202733755112
254,MPI-ESM1-2-HR,1,historical,1900,1950,-0.6401962313661897,8.506525307893753e-05
255,MPI-ESM1-2-HR,1,historical,1950,2000,-0.4177565127520211,0.000290957223623991
256,MPI-ESM1-2-HR,1,historical,1992,2014,-0.05580499297843744,0.0010633292523297396
257,MPI-ESM1-2-LR,1,SSP126,2016,2050,0.4435518377878225,0.0013783736994453504
258,MPI-ESM1-2-LR,1,SSP126,2051,2100,0.6526174510554862,0.000936302299402198
259,MPI-ESM1-2-LR,1,SSP245,2016,2050,0.5402042535312338,0.0015919967097978965
260,MPI-ESM1-2-LR,1,SSP245,2051,2100,1.3124393801347765,0.0019682255529222033
261,MPI-ESM1-2-LR,1,SSP585,2016,2050,0.6053191235833424,0.0018141966167033888
262,MPI-ESM1-2-LR,1,SSP585,2051,2100,2.3539196673816227,0.0036831611678713842
263,MPI-ESM1-2-LR,1,historical,1850,1900,-0.8862953480851274,-0.00040941022336483
264,MPI-ESM1-2-LR,1,historical,1900,1950,-0.7395266397430191,-2.544287592172623e-05
265,MPI-ESM1-2-LR,1,historical,1950,2000,-0.4801410966487083,0.00025002913549542426
266,MPI-ESM1-2-LR,1,historical,1992,2014,-0.04471769308401008,0.0010236589746041732
267,MRI-ESM2-0,1,SSP126,2016,2050,0.8199152760720949,0.0023465117110925563
268,MRI-ESM2-0,1,SSP126,2051,2100,1.1166319333599404,0.0019694481577192035
269,MRI-ESM2-0,1,SSP245,2016,2050,0.8586529664375462,0.0024930773412480075
270,MRI-ESM2-0,1,SSP245,2051,2100,1.7955010330638288,0.003031241650484046
271,MRI-ESM2-0,1,SSP585,2016,2050,1.1065856576892656,0.0028301841195891887
272,MRI-ESM2-0,1,SSP585,2051,2100,2.9054030154318866,0.0052746218077990474
273,MRI-ESM2-0,1,historical,1850,1900,-0.7077356322052992,0.00014134425669908523
274,MRI-ESM2-0,1,historical,1900,1950,-0.583408741758717,0.00027397599071264265
275,MRI-ESM2-0,1,historical,1950,2000,-0.4558369280780994,0.00025536540895700456
276,MRI-ESM2-0,1,historical,1992,2014,-0.05759887700418176,0.0013820732181722467
277,NESM3,1,SSP126,2016,2050,0.9210476527038622,0.0017736079719136743
278,NESM3,1,SSP126,2051,2100,1.2226919588827059,0.0011174616460897485
279,NESM3,1,SSP245,2016,2050,0.9283936687367031,0.0020428808296428006
280,NESM3,1,SSP245,2051,2100,1.9060298720482365,0.0020844741743438096
281,NESM3,1,SSP585,2016,2050,1.2097694071913452,0.002446191494955736
282,NESM3,1,SSP585,2051,2100,3.399749941502762,0.004011856049907451
283,NESM3,1,historical,1850,1900,-0.8242466267370219,0.0001111152023077011
284,NESM3,1,historical,1900,1950,-0.6911750522650095,0.00038825348019599915
285,NESM3,1,historical,1950,2000,-0.5086172761622834,0.00023485178127884864
286,NESM3,1,historical,1992,2014,-0.08570777634099613,0.0012947920371185649
287,NorESM2-LM,1,SSP126,2016,2050,0.4670428801305775,0.0022232379106914297
288,NorESM2-LM,1,SSP126,2051,2100,0.698525092756995,0.0020406731233304862
289,NorESM2-LM,1,SSP245,2016,2050,0.5873439653240288,0.002282925242302465
290,NorESM2-LM,1,SSP245,2051,2100,1.3226935749589568,0.0028044348265849005
291,NorESM2-LM,1,SSP585,2016,2050,0.6638960521598847,0.002492506057024002
292,NorESM2-LM,1,SSP585,2051,2100,2.3402745335117743,0.004588186740875244
293,NorESM2-LM,1,historical,1850,1900,-0.5841489508799782,0.0005372514575719833
294,NorESM2-LM,1,historical,1900,1950,-0.5190779709562321,0.0004681936651468277
295,NorESM2-LM,1,historical,1950,2000,-0.4820209212769555,0.00041445434093475344
296,NorESM2-LM,1,historical,1992,2014,-0.07437924569137522,0.0013920512389053
297,NorESM2-MM,1,SSP126,2016,2050,0.6513889376872157,0.002088728634750142
298,NorESM2-MM,1,SSP126,2051,2100,0.886305146956829,0.0018508447980394168
299,NorESM2-MM,1,SSP245,2016,2050,0.6712761306682182,0.0020931391593287975
300,NorESM2-MM,1,SSP245,2051,2100,1.443979714331192,0.002535195831133395
301,NorESM2-MM,1,SSP585,2016,2050,0.8045185568688566,0.0022791746784658995
302,NorESM2-MM,1,SSP585,2051,2100,2.5198748702920852,0.004409151417868478
303,NorESM2-MM,1,historical,1850,1900,-0.4716461031428594,0.00040415119379758833
304,NorESM2-MM,1,historical,1900,1950,-0.4679974663966959,0.00045749913901090624
305,NorESM2-MM,1,historical,1950,2000,-0.38700343821278693,0.00017327625304460525
306,NorESM2-MM,1,historical,1992,2014,-0.02854375014510424,0.0013887920332225885
307,SAM0-UNICON,1,historical,1850,1900,-0.6469212985734885,8.304782211780548e-05
308,SAM0-UNICON,1,historical,1900,1950,-0.6103655920807114,0.00015501249581575393
309,SAM0-UNICON,1,historical,1950,2000,-0.475112820887432,0.00027464140206575396
310,SAM0-UNICON,1,historical,1992,2014,-0.06348390377240776,0.0012570114975625818
311,UKESM1-0-LL,1,SSP126,2016,2050,1.214123845445779,0.002440856794965752
312,UKESM1-0-LL,1,SSP126,2051,2100,1.9878858979135823,0.0020414324158589165
313,UKESM1-0-LL,1,SSP245,2016,2050,1.3315136830572896,0.0027250520446721244
314,UKESM1-0-LL,1,SSP245,2051,2100,2.9399365916814872,0.003282716809486856
315,UKESM1-0-LL,1,SSP585,2016,2050,1.462812681070261,0.0031653432723353888
